GPS.x,GPS.y,Latitude,Longitude
261187.5192,54903.36482,,
261351.8616,55242,,
261351.8616,55242,,
261592,55511.6077,,
261926.2117,57837.8443,,
262476.9707,57730.11076,,
262435.6438,56947.04142,,
262661.5138,55707.55674,,
263010.4862,54880.44326,,
263675.4463,54716.784,,
263821.2583,54542.95202,,
264006.3543,54034.59218,,
264049.1394,53677.30222,,
264049.1394,53677.30222,,
263755.1303,53369.09539,,
263791.8356,53248.44935,,
263791.8356,53248.44935,,
263592.9904,53053.5,,
262763,52692,,
261722,52282.51666,,
262253.3974,43475.13047,,
259959.4234,49730.31139,,
269739.4279,50947.66044,,
260216.6905,53911.46275,,
259518.3582,53918.50933,,
261265.3713,55115.94955,,
261363.8587,54548.85298,,
261363.8587,54548.85298,,
262054.225,55000.5,,
262054.225,55000.5,,
262239.1673,55548.5,,
262239.1673,55548.5,,
262239.1673,55548.5,,
261661.3975,56135,,
261948.3038,57202.52704,,
262156.3494,57746.03093,,
262267.6381,58013.70678,,
262267.6381,58013.70678,,
262722.3397,58397,,
261276.4956,56997.2608,,
260979.809,56600,,
260941.5648,55862.5,,
262377.9045,52510.5,,
263792.213,53303.55484,,
263930.9511,53369.34648,,
263930.9511,53369.34648,,
264569.2159,53236.61902,,
264415.7128,53708,,
263723.5034,53856.46382,,
263723.5034,53856.46382,,
263153.2872,53782,,
262860.8204,54708.377,,
262955.9293,54929.42649,,
262955.9293,54929.42649,,
263532.303,55107.95389,,
263594.718,55954,,
262766.9981,55538.44924,,
262354.583,54206.89475,,
262441.1452,53860.04551,,
262138.4425,53432.79111,,